studentID,password,isAdmin,name,seniority,isEboard,suitePreference,roomSizePreference,roomType,numberOfAttendance,numberOfStrikes
12345678|A1b2C3d4|0|AliceJohnson|Senior|1|ProjectorSuite|711,712|Double|20|1
87654321|E5f6G7h8|1|BobSmith|Senior|1|ArtSuite|711,712|Single|18|2
11223344|I9j0K1l2|0|CharlieBrown|Junior|1|VideoGameSuite|711,712|Double|19|1
22334455|M3n4O5p6|1|DaisyRidley|Junior|0|BoardGameSuite|711,712|Single|17|2
33445566|Q7r8S9t0|0|EdwardStone|Senior|0|ProjectorSuite|711,712|Double|15|1
44556677|U1v2W3x4|1|FionaGreen|Sophomore|1|ArtSuite|711,712|Single|14|0
55667788|Y5z6A7b8|0|GeorgeLucas|Freshman|0|VideoGameSuite|711,712|Double|10|3
66778899|C9d0E1f2|1|HannahAbbot|Sophomore|0|BoardGameSuite|711,712|Single|11|0
77889900|G3h4I5j6|0|IanMcKellen|Senior|1|ProjectorSuite|711,712|Single|20|1
88990011|K7l8M9n0|1|JuliaRoberts|Junior|0|ArtSuite|711,712|Double|18|0
99001122|O1p2Q3r4|1|KevinCostner|Sophomore|1|VideoGameSuite|711,712|Single|16|2
10012233|R5s6T7u8|0|LilyEvans|Senior|0|BoardGameSuite|711,712|Double|20|0
21123344|V9w0X1y2|1|MichaelScott|Senior|1|ProjectorSuite|711,712|Single|15|3
32234455|Z3a4B5c6|0|NinaDobrev|Junior|0|ArtSuite|711,712|Double|19|1
43345566|D7e8F9g0|1|OscarWilde|Sophomore|1|VideoGameSuite|711,712|Single|17|0
54456677|H1i2J3k4|0|ObamaPres|Senior|0|BoardGameSuite|711,712|Double|18|1
65567788|L5m6N7o8|1|AdoftHimmer|Senior|1|ProjectorSuite|711,712|Single|16|2
76678899|P9q0R1s2|1|RachelBerry|Junior|1|ArtSuite|711,712|Double|15|1
87789900|T3u4V5w6|0|StevenSpielberg|Sophomore|0|VideoGameSuite|711,712|Single|13|0
98890011|X7y8Z9a0|1|TildaSwinton|Senior|0|BoardGameSuite|711,712|Double|20|0
10990122|B1c2D3e4|0|UrsulaLeGuin|Senior|1|ProjectorSuite|711,712|Single|19|1
21091233|F5g6H7i8|1|VincentVega|Junior|0|ArtSuite|711,712|Double|15|0
32192344|J9k0L1m2|1|WalterWhite|Sophomore|1|VideoGameSuite|711,712|Single|12|1
43293455|N3o4P5q6|0|XeniaOnatopp|Freshman|0|BoardGameSuite|711,712|Double|11|2
